datetime,Open,High,Low,Close,Volume
2021-05-27,15018.819249,15038.822421,14928.667972,15008.132624,385944
2021-05-28,15010.324752,15085.679164,14975.250699,15001.282223,362338
2021-05-31,15014.983025,15037.45234,14962.919977,14966.482185,48337
2021-06-01,14972.784554,15096.091773,14897.978175,14958.53572,395712
2021-06-02,14964.838089,15030.053907,14910.034881,14990.869613,369677
2021-06-03,14993.609774,15024.573586,14755.489833,14830.022197,546910
2021-06-04,14831.666293,15107.874463,14761.518186,15085.405148,435798
2021-06-07,15096.365789,15151.991046,15006.762544,15150.620966,386513
2021-06-08,15150.894982,15254.199029,15061.839768,15139.660324,475586
2021-06-09,15139.93434,15239.950195,15129.52173,15138.290244,370494
2021-06-10,15144.318597,15319.140831,15044.576757,15315.852639,463078
2021-06-11,15318.044767,15342.432195,15270.639992,15336.951874,204753
2021-06-14,15343.802275,15492.948501,15307.594664,15475.126017,289225
2021-06-15,15476.496977,15525.028973,15355.578276,15396.158702,374476
2021-06-16,15397.529662,15459.771261,15168.579287,15278.804497,527465
2021-06-17,15290.046372,15573.012584,15181.192122,15548.883682,626430
2021-06-18,15552.173987,15579.319002,15365.723382,15374.223336,559155
2021-06-21,15379.707178,15512.69033,15309.239817,15505.561336,497716
2021-06-22,15504.73876,15661.028237,15427.690789,15649.237979,416625
2021-06-23,15655.270204,15701.060279,15608.931745,15655.544396,360247
2021-06-24,15656.641164,15817.591907,15650.883131,15748.495507,405562
2021-06-25,15755.898692,15787.156588,15698.318358,15717.785995,375686
2021-06-28,15738.624592,15924.801005,15720.253724,15906.155945,370642
2021-06-29,15908.075289,15996.090942,15868.865824,15993.897406,355314
2021-06-30,15996.090942,16011.171506,15923.155853,15964.01047,378465
2021-07-01,15967.300775,16019.67146,15871.333552,15947.010562,431459
2021-07-02,15951.123443,16154.299764,15917.672011,16123.590253,384282
2021-07-05,16127.15475,16146.348194,16094.525894,16115.090299,49194
2021-07-06,16116.735451,16221.202628,16040.510057,16192.412461,498402
2021-07-07,16193.235038,16324.024653,16151.283652,16243.412186,467777
2021-07-08,16245.33153,16256.299213,15947.558947,16136.751472,627187
2021-07-09,16133.735359,16267.266896,16057.509965,16247.799259,418452
2021-07-12,16258.492749,16329.234302,16215.718787,16315.524699,357838
2021-07-13,16319.911772,16445.765931,16226.138086,16303.460248,502621
2021-07-14,16308.669898,16447.136891,16277.412002,16338.282641,495659
2021-07-15,16336.363296,16410.669346,16131.541823,16206.396257,621856
2021-07-16,16208.589793,16308.395705,16074.235681,16087.945284,532096
2021-07-19,16095.074278,16103.30004,15842.817577,16004.316704,708101
2021-07-20,16005.961857,16212.976866,15921.5107,16151.832036,521602
2021-07-21,16155.122341,16275.492658,16087.671092,16274.121697,397643
2021-07-22,16272.476545,16432.604711,16261.508862,16426.298294,417811
2021-07-23,16429.040215,16580.120043,16379.411451,16551.604068,440839
2021-07-26,16559.007254,16598.490911,16494.023734,16588.071613,387285
2021-07-27,16588.894189,16595.748991,16203.928528,16325.121421,664428
2021-07-28,16315.250507,16533.2332,16304.557017,16434.798248,573804
2021-07-29,16434.798248,16543.652498,16347.330979,16352.540628,410610
2021-07-30,16347.605171,16429.588599,16244.508954,16414.782227,499675
2021-08-02,16421.637029,16513.217179,16377.217914,16407.379041,442664
2021-08-03,16410.120962,16506.362377,16285.911956,16489.910853,516372
2021-08-04,16493.201158,16569.974936,16448.233659,16540.910577,439602
2021-08-05,16541.18477,16640.71649,16527.475166,16639.893913,336948
2021-08-06,16635.50684,16637.700377,16503.346264,16553.24922,413402
2021-08-09,16550.5073,16611.103746,16455.088461,16590.539341,356066
2021-08-10,16592.732878,16623.990773,16445.491738,16504.168841,468994
2021-08-11,16500.878536,16582.039387,16410.943538,16460.846494,474504
2021-08-12,16460.846494,16550.781492,16387.088828,16538.717041,382311
2021-08-13,16538.991233,16606.990865,16512.120411,16585.329692,361993
2021-08-16,16582.313579,16603.974753,16360.76639,16599.58768,585707
2021-08-17,16595.748991,16598.216719,16338.556833,16417.79834,680781
2021-08-18,16418.895108,16492.378582,16239.299305,16275.492658,562349
2021-08-19,16276.041042,16450.427196,16134.009551,16389.830749,721963
2021-08-20,16389.282365,16561.20079,16288.105493,16555.716949,496279
2021-08-23,16550.233108,16821.683253,16546.394419,16811.538147,405404
2021-08-24,16810.167186,16872.682977,16790.973742,16850.199228,362598
2021-08-25,16848.828268,16886.940965,16816.747796,16854.312109,402857
2021-08-26,16854.312109,16855.408877,16731.474063,16766.570648,561667
2021-08-27,16765.199688,16938.214881,16742.715938,16921.214973,435654
2021-08-30,16926.15043,17129.052559,16912.166635,17116.713916,412553
2021-08-31,17115.617148,17194.310271,17019.375733,17109.036538,514538
2021-09-01,17109.036538,17218.164981,17086.004405,17120.552605,458609
2021-09-02,17120.552605,17199.51992,17056.665854,17110.407499,458519
2021-09-03,17110.681691,17194.584463,17057.214238,17169.907177,456574
2021-09-06,17171.003945,17228.858471,17156.197574,17220.632709,56442
2021-09-07,17221.455285,17221.729478,17116.988108,17188.552238,477817
2021-09-08,17187.455469,17209.390835,17025.956342,17120.278413,550071
2021-09-09,17120.552605,17192.665119,17050.085244,17068.456113,511880
2021-09-10,17066.81096,17184.165164,16926.973006,16942.601954,327744
2021-09-13,16947.811604,17072.918949,16837.250664,16949.734944,466561
2021-09-14,16948.363184,17036.430145,16839.171127,16887.18271,467408
2021-09-15,16889.103173,17025.730421,16798.841397,17018.871624,470965
2021-09-16,17020.517735,17045.483758,16854.809185,17007.623196,451084
2021-09-17,17007.348844,17040.819776,16764.273057,16771.406207,626475
2021-09-20,16772.777966,16832.312329,16249.863238,16451.237535,834122
2021-09-21,16452.334943,16640.265997,16420.784474,16453.157999,656779
2021-09-22,16453.157999,16710.225732,16384.844375,16656.727111,595715
2021-09-23,16656.727111,16841.914646,16653.434888,16785.946858,506888
2021-09-24,16790.61084,16827.922699,16655.081,16811.187233,462336
2021-09-27,16811.187233,16899.254194,16553.296443,16649.31961,534971
2021-09-28,16650.142665,16672.090818,16176.61128,16206.515638,822686
2021-09-29,16207.887397,16379.906041,16143.963404,16200.479896,643435
2021-09-30,16208.436101,16333.266217,16099.244043,16123.387011,693586
2021-10-01,16134.361087,16261.386018,15953.014479,16216.666658,656852
2021-10-04,16225.171567,16280.041948,15767.27824,15900.338913,794074
2021-10-05,15905.5516,16191.974987,15814.192416,16089.641727,566691
2021-10-06,16090.190431,16208.710453,15827.361307,16203.772119,749292
2021-10-07,16206.515638,16462.485963,16205.41823,16341.771126,490232
2021-10-08,16341.771126,16456.724573,16231.481661,16247.668423,547176
2021-10-11,16252.881109,16348.355572,16106.651545,16115.430806,508201
2021-10-12,16119.271732,16223.251104,16006.238748,16019.133288,596272
2021-10-13,16015.566713,16236.968699,16012.27449,16206.241286,544969
2021-10-14,16208.984805,16539.578848,16205.966934,16532.445699,418954
2021-10-15,16531.073939,16620.238308,16483.885412,16619.415252,430455
2021-10-18,16620.238308,16787.318617,16503.638749,16777.990652,419469
2021-10-19,16779.08806,16931.079014,16756.316852,16911.874381,379376
2021-10-20,16912.148733,16951.106703,16811.187233,16853.711778,445296
2021-10-21,16853.437426,16991.985137,16791.433896,16879.500857,433303
2021-10-22,16881.42132,16969.762633,16761.529538,16816.674271,540572
2021-10-25,16816.948623,17060.298761,16785.672506,17057.829594,451900
2021-10-26,17057.006538,17230.396941,17013.110234,17034.784034,575448
2021-10-27,17045.209406,17248.504167,17017.774216,17111.876919,529551
2021-10-28,17114.071734,17313.79992,17110.505159,17196.377305,493852
2021-10-29,17207.077029,17410.097438,17114.620438,17409.274382,480264
2021-11-01,17432.594294,17464.967818,17304.471955,17435.337813,406909
2021-11-02,17438.904388,17536.848017,17393.361972,17513.802457,416151
2021-11-03,17512.156346,17718.468977,17487.464675,17701.733511,444081
2021-11-04,17700.636104,17971.14708,17700.636104,17929.719943,516526
2021-11-05,17926.153368,18050.709132,17878.964841,17936.853092,520172
2021-11-08,17880.062248,17990.900417,17839.458167,17912.710125,412182
2021-11-09,17904.75392,17988.43125,17734.107036,17774.985469,554465
2021-11-10,17779.3751,17825.191868,17444.94013,17543.432463,651883
2021-11-11,17546.450334,17683.626285,17532.184035,17598.302844,431274
2021-11-12,17606.533401,17792.543991,17560.442281,17778.00334,416333
2021-11-15,17791.446584,17861.955023,17648.783594,17773.888062,478919
2021-11-16,17776.357229,17913.807532,17714.353699,17881.434008,420515
2021-11-17,17885.274934,17993.643936,17854.821873,17912.161421,452825
2021-11-18,17912.435773,18116.004885,17891.585028,18113.261366,593502
2021-11-19,18110.792199,18248.242503,18096.5259,18204.071846,539504
2021-11-22,18217.240738,18400.782161,17958.526893,17995.838752,760778
2021-11-23,17996.387455,18018.061256,17688.56462,17885.549286,892491
2021-11-24,17888.018454,17962.916523,17670.457394,17947.827168,649587
2021-11-25,17953.588558,18036.991537,17945.083649,18002.423197,69055
2021-11-26,18003.794957,18011.751162,17545.352926,17606.259049,600204
2021-11-29,17609.551272,18038.912,17600.223307,18012.574218,591430
2021-11-30,18018.335608,18059.214041,17633.968591,17819.979181,842312
2021-12-01,17820.527885,18027.663572,17366.749837,17403.512992,853908
2021-12-02,17439.727443,17631.225072,17298.161861,17576.629043,846317
2021-12-03,17580.46997,17692.131195,17051.5195,17215.581938,887296
2021-12-06,17247.132407,17445.763185,17074.839412,17393.08762,685680
2021-12-07,17392.538916,17969.500969,17365.926781,17960.99606,581797
2021-12-08,17954.137262,18037.814593,17834.519832,17978.28023,487063
2021-12-09,17976.085415,18019.433015,17694.051658,17731.91222,56433
2021-12-10,17734.381388,17928.896887,17707.769253,17914.081884,360583
2021-12-13,17914.081884,18011.751162,17628.481553,17659.75767,463979
2021-12-14,17655.093688,17704.202678,17266.611392,17478.411062,614915
2021-12-15,17480.605877,17887.744102,17273.47019,17871.557339,694917
2021-12-16,17874.57521,18060.037097,17331.358442,17427.381608,759047
2021-12-17,17424.638089,17510.784586,17176.349616,17370.316412,790005
2021-12-20,17349.465667,17395.831139,17001.03875,17202.961751,667290
2021-12-21,17201.041287,17544.52987,17125.04581,17529.98922,525741
2021-12-22,17535.476258,17759.347411,17428.479015,17755.506484,470752
2021-12-23,17756.055188,17949.198928,17717.920273,17891.036324,342127
2021-12-27,17892.408084,18195.841289,17892.408084,18184.044157,342723
2021-12-28,18179.380175,18282.262139,18054.824411,18120.94322,450293
2021-12-29,18122.040627,18177.734064,17983.767268,18086.923583,350908
2021-12-30,18090.215806,18181.300638,18009.830699,18032.327555,297633
2021-12-31,18031.504499,18067.71895,17902.833456,17922.312441,356423
2022-01-03,17949.198928,18116.004885,17878.964841,18102.561642,504499
2022-01-04,18104.756457,18177.459712,17711.61018,17845.219557,662530
2022-01-05,17849.334835,17853.724466,17287.187785,17288.833897,757500
2022-01-06,17299.259269,17444.117074,17117.912661,17332.455849,796028
2022-01-07,17340.960758,17396.928546,17020.792087,17086.910896,691245
2022-01-10,17108.584696,17195.279897,16628.468865,17136.56859,878843
2022-01-11,17143.976092,17382.387896,16982.38282,17365.926781,699966
2022-01-12,17367.572893,17568.672838,17297.887509,17443.56837,667406
2022-01-13,17449.878464,17536.299313,16964.001243,17011.738474,755594
